work_id,isbn13,asin,title,author,publication_year,publisher,language,pages,genres,tags,description,formats,physical_owned,kindle_owned,audiobook_owned,goodreads_id,goodreads_url,sources,date_added,date_read,date_updated,read_status,rating,reread,reread_count,dnf,dnf_reason,pacing_rating,tone,vibe,what_i_wanted,did_it_deliver,favorite_elements,pet_peeves,notes,anchor_type,would_recommend
,,,The Eyes of the Beholders (Star Trek: The Next Generation #13),A.C. Crispin,1990,Pocket Books,,243,,,,,0,0,0,217871,https://www.goodreads.com/book/show/217871,goodreads,2014-08-08,,2025-12-25,read,5,0,1,,,,,,,,,,,,
,,,"Genome (The Extinction Files, #2)",A.G. Riddle,2017,Legion Books,,544,,,,,0,0,0,34850181,https://www.goodreads.com/book/show/34850181,goodreads,2019-08-17,,2025-12-25,read,,0,1,,,,,,,,,,,,
,,,"Pandemic (The Extinction Files, #1)",A.G. Riddle,2017,Legion Books,,722,,,,,0,0,0,34811896,https://www.goodreads.com/book/show/34811896,goodreads,2019-08-14,,2025-12-25,read,,0,1,,,,,,,,,,,,
,,,"The Atlantis Gene (The Origin Mystery, #1)",A.G. Riddle,2013,Amazon Digital Services,,488,,,,,0,0,0,17999892,https://www.goodreads.com/book/show/17999892,goodreads,2014-08-08,,2025-12-25,read,4,0,1,,,,,,,,,,,,
,,,"The Lost Colony (The Long Winter, #3)",A.G. Riddle,2019,Legion Books,,380,,,,,0,0,0,50190168,https://www.goodreads.com/book/show/50190168,goodreads,2020-11-16,,2025-12-25,read,,0,1,,,,,,,,,,,,
,,,"The Solar War (The Long Winter, #2)",A.G. Riddle,2019,Legion,,470,,,,,0,0,0,49973863,https://www.goodreads.com/book/show/49973863,goodreads,2019-08-13,,2025-12-25,read,,0,1,,,,,,,,,,,,
,,,"Winter World (The Long Winter, #1)",A.G. Riddle,2019,Legion Books,,472,,,,,0,0,0,43720168,https://www.goodreads.com/book/show/43720168,goodreads,2019-08-11,,2025-12-25,read,,0,1,,,,,,,,,,,,
,,,The Library of the Unwritten (Hell's Library #1),A.J. Hackwith,2019,Ace,,382,,,,,0,0,0,44157462,https://www.goodreads.com/book/show/44157462,goodreads,2020-06-23,,2025-12-25,reading,,0,1,,,,,,,,,,,,
,,,Behind the Throne: A Domestic History of the British Royal Household,Adrian Tinniswood,2018,Basic Books,,384,,,,,0,0,0,38610135,https://www.goodreads.com/book/show/38610135,goodreads,2020-11-16,,2025-12-25,read,,0,1,,,,,,,,,,,,
,,,Grenade,Alan Gratz,2018,Scholastic Press,,293,,,,,0,0,0,39193893,https://www.goodreads.com/book/show/39193893,goodreads,2020-02-01,,2025-12-25,read,,0,1,,,,,,,,,,,,
