Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
199288133,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""""","=""""",0,4.05,Knopf,Kindle Edition,290,2023,2022,2025/11/02,2025/10/29,,,read,,,,1,0
222953258,"Depths of Vanalf (Grimnir Chronicles, #1)",Brady Hunsaker,"Hunsaker, Brady",,"=""""","=""""",0,3.98,,Kindle Edition,446,2025,,,2025/10/29,currently-reading,currently-reading (#45),currently-reading,,,,1,0
28736,"Oathblood (Vows and Honor, #3)",Mercedes Lackey,"Lackey, Mercedes",,"=""0886777739""","=""9780886777739""",5,4.08,DAW,Mass Market Paperback,394,1998,1998,,2012/01/23,currently-reading,currently-reading (#44),currently-reading,,,,2,0
223432841,The Saltwater Curse,Avina St. Graves,"Graves, Avina St.",,"=""0473736535""","=""9780473736538""",0,3.58,,Kindle Edition,384,2025,2025,,2025/10/05,currently-reading,currently-reading (#43),currently-reading,,,,1,0
240034127,"The Inheritance (Breach Wars, #1)",Ilona Andrews,"Andrews, Ilona",Candice Slater,"=""""","=""""",0,4.68,NYLA,Kindle Edition,280,2025,2025,2025/09/30,2025/09/29,,,read,,,,1,0
175671,"Oathbreakers (Vows and Honor, #2)",Mercedes Lackey,"Lackey, Mercedes",,"=""0886774543""","=""9780886774547""",5,4.20,DAW,Mass Market Paperback,318,1989,1989,,2012/01/23,currently-reading,currently-reading (#42),currently-reading,,,,2,0
55578956,The Raven Tower,Ann Leckie,"Leckie, Ann",,"=""0316388718""","=""""",0,3.91,Orbit,Kindle Edition,465,2019,2019,,2025/09/28,currently-reading,currently-reading (#41),currently-reading,,,,1,0
24966740,"Ancillary Mercy (Imperial Radch, #3)",Ann Leckie,"Leckie, Ann",,"=""""","=""""",0,4.22,Orbit,Kindle Edition,363,2015,2015,,2025/09/14,currently-reading,currently-reading (#40),currently-reading,,,,1,0
20944489,"Ancillary Sword (Imperial Radch, #2)",Ann Leckie,"Leckie, Ann",,"=""""","=""""",0,4.08,Orbit,Kindle Edition,400,2014,2014,2025/09/14,2025/09/08,,,read,,,,1,0
65137920,The Lost Bookshop,Evie  Woods,"Woods, Evie",Evie Gaughan,"=""0008609209""","=""9780008609207""",0,3.99,One More Chapter/HarperCollins UK,Kindle Edition,444,2023,2023,2025/08/16,2025/08/08,,,read,,,,1,0
